cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url	list_type
the Sigule-Salang list	45	dòtòˈ	NA	tepel	nipple	puting susu	35	37	38	FALSE									NIPPLE	796	https://concepticon.clld.org/parameters/796	NBL
the Sigule-Salang list	46	soesoe	NA	melk	breast milk	air susu	36	38	39	FALSE									BREAST MILK	3912	https://concepticon.clld.org/parameters/3912	NBL
the Sigule-Salang list	46	mangoe	NA	melk	breast milk	air susu	36	38	39	FALSE									BREAST MILK	3912	https://concepticon.clld.org/parameters/3912	NBL
the Sigule-Salang list	48	tòtòh	NA	zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE									SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472	NBL
the Sigule-Salang list	50	roesoe	NA	rib	rib	tulang rusuk	69	70	42	FALSE									RIB	801	https://concepticon.clld.org/parameters/801	NBL
the Sigule-Salang list	50	tèmanoeng	NA	rib	rib	tulang rusuk	69	70	42	FALSE									RIB	801	https://concepticon.clld.org/parameters/801	NBL
the Sigule-Salang list	52	mata enden	NA	hart	heart	jantung	29	31	44	TRUE									HEART	1223	https://concepticon.clld.org/parameters/1223	NBL
the Sigule-Salang list	53	bétoea	NA	maag	stomach	lambung	28	30	-	FALSE									STOMACH	819	https://concepticon.clld.org/parameters/819	NBL
the Sigule-Salang list	54	betoewa	NA	bulk	belly	perut	31	33	45	TRUE									BELLY	1251	https://concepticon.clld.org/parameters/1251	NBL
the Sigule-Salang list	55	betoewa idété	NA	darmen	intestines	usus	-	-	46	TRUE	guts								INTESTINES	1991	https://concepticon.clld.org/parameters/1991	NBL
the Sigule-Salang list	56	emlacha	NA	lever	liver	hati	30	32	47	TRUE									LIVER	1224	https://concepticon.clld.org/parameters/1224	NBL
the Sigule-Salang list	57	koedé	NA	gal	bile	empedu	-	29	48	FALSE									BILE	1780	https://concepticon.clld.org/parameters/1780	NBL
the Sigule-Salang list	60	euehialoes	NA	zijde	side	sisi badan	-	-	51	FALSE									SIDE (BODY)	3344	https://concepticon.clld.org/parameters/3344	NBL
the Sigule-Salang list	61	oechen	NA	navel	navel	pusat	32	34	52	FALSE									NAVEL	1838	https://concepticon.clld.org/parameters/1838	NBL
the Sigule-Salang list	63	dété	NA	rug	back	belakang, punggung	39	40	54	TRUE									BACK	1291	https://concepticon.clld.org/parameters/1291	NBL
the Sigule-Salang list	65	galifi	NA	schouder	shoulder	bahu	-	-	56	FALSE									SHOULDER	1482	https://concepticon.clld.org/parameters/1482	NBL
the Sigule-Salang list	66	teula galifi	NA	schouderblad	shoulderblade	tulang belikat	43	44	-	FALSE									SHOULDERBLADE	172	https://concepticon.clld.org/parameters/172	NBL
the Sigule-Salang list	68	lāmang	NA	bil	buttock	pantat bagian kiri atau kanan	45	46	-	FALSE		ocr error as belgian but also fixed the Indonesian spelling to bagian							BUTTOCKS	834	https://concepticon.clld.org/parameters/834	NBL
the Sigule-Salang list	70	oeajong	NA	stuit	tailbone, coccyx	tulang tungging, tulang ekor	46	47	57	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	72	metaj	NA	poepen	to defecate	berak	172	176	60	FALSE									SHIT (DEFECATE)	676	https://concepticon.clld.org/parameters/676	NBL
the Sigule-Salang list	73	taj	NA	poep	faeces	tahi	173	177	61	FALSE									FAECES (EXCREMENT)	675	https://concepticon.clld.org/parameters/675	NBL
the Sigule-Salang list	75	eutoe	NA	wind laten	to fart	berkentut	174	179	63	FALSE									FART	1159	https://concepticon.clld.org/parameters/1159	NBL
the Sigule-Salang list	76	baoen	NA	stinken	to stink, to smell	berbau busuk	-	178	64	FALSE									SMELL (STINK)	1587	https://concepticon.clld.org/parameters/1587	NBL
the Sigule-Salang list	77	boetoe	NA	penis	penis	batang pelir	47	48	65	FALSE									PENIS	1222	https://concepticon.clld.org/parameters/1222	NBL
the Sigule-Salang list	78	toejoe	NA	vagina	vagina	puki, liang peranakan	48	49	67	FALSE									VAGINA	1836	https://concepticon.clld.org/parameters/1836	NBL
the Sigule-Salang list	82	chaidameu iteuteu	NA	pissen	to urinate	kencing (k.k.)	170	174	69	FALSE									PISS	592	https://concepticon.clld.org/parameters/592	NBL
the Sigule-Salang list	83	mechiĕl	NA	pis	piss, urine	air kencing (k.b.)	171	175	70	FALSE									URINE	1142	https://concepticon.clld.org/parameters/1142	NBL
the Sigule-Salang list	84	kakē	2	been	leg	kaki	49	50	-	TRUE		typo from leki	kaké alélé	legs					LEG	1297	https://concepticon.clld.org/parameters/1297	NBL
the Sigule-Salang list	84	kakē	2	been	leg	kaki	49	50	-	TRUE		typo from leki	keuriang	leg bands					LEG	1297	https://concepticon.clld.org/parameters/1297	NBL
the Sigule-Salang list	86	kahé	NA	voet	foot	kaki	54	55	55	TRUE		typo from leki							FOOT	1301	https://concepticon.clld.org/parameters/1301	NBL
the Sigule-Salang list	88	kalung² kahé	NA	enkel	ankle	buku kaki, pergelangan kaki	55	56	73	FALSE									ANKLE	803	https://concepticon.clld.org/parameters/803	NBL
the Sigule-Salang list	89	laloea kahé	NA	hiel	heel	tumit	-	-	74	FALSE									HEEL	980	https://concepticon.clld.org/parameters/980	NBL
the Sigule-Salang list	91	matamboehoen	NA	knie	knee	lutut	51	52	76	TRUE									KNEE	1371	https://concepticon.clld.org/parameters/1371	NBL
the Sigule-Salang list	93	gaai	NA	knit	calf	betis	52	53	78	FALSE									CALF OF LEG	498	https://concepticon.clld.org/parameters/498	NBL
the Sigule-Salang list	97	dangan	NA	hand	hand	tangan	56	57	-	TRUE									HAND	1277	https://concepticon.clld.org/parameters/1277	NBL
the Sigule-Salang list	99	bafa kèchè	NA	oksel	armpit	ketiak	42	43	82	FALSE									ARMPIT	1886	https://concepticon.clld.org/parameters/1886	NBL
the Sigule-Salang list	100	matai ae	NA	elleboog	elbow	siku	41	42	83	FALSE									ELBOW	981	https://concepticon.clld.org/parameters/981	NBL
the Sigule-Salang list	102	laloe dangan	NA	handpalm	palm of the hand	telapak tangan	57	58	85	FALSE									PALM OF HAND	1183	https://concepticon.clld.org/parameters/1183	NBL
the Sigule-Salang list	105	nono danga	NA	vingers	fingers	jari tangan (jamak)	58	59	-	FALSE									FINGER	1303	https://concepticon.clld.org/parameters/1303	NBL
the Sigule-Salang list	107	tĕnĕp (denop)	NA	nagel	(finger)nail	kuku	59	60	89	FALSE									FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896	NBL
the Sigule-Salang list	107	dènĕp	NA	nagel	(finger)nail	kuku	59	60	89	FALSE									FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896	NBL
the Sigule-Salang list	108	indo danga	NA	duim	thumb	ibu jari	60	61	90	FALSE									THUMB	1781	https://concepticon.clld.org/parameters/1781	NBL
the Sigule-Salang list	109	enoe teloe	NA	wijsvinger	index finger	telunjuk	61	62	91	FALSE									FOREFINGER	577	https://concepticon.clld.org/parameters/577	NBL
the Sigule-Salang list	111	nono danga	NA	ringvinger	ring finger	jari manis	63	64	93	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	112	nono dangan	NA	pink	little finger	kelingking	64	65	94	FALSE									LITTLE FINGER	2774	https://concepticon.clld.org/parameters/2774	NBL
the Sigule-Salang list	115	deula	NA	been (gebeente)	bone	tulang	65	66	97	TRUE									BONE	1394	https://concepticon.clld.org/parameters/1394	NBL
the Sigule-Salang list	116	dōe	NA	bloed	blood	darah	66	67	98	TRUE									BLOOD	946	https://concepticon.clld.org/parameters/946	NBL
the Sigule-Salang list	117	énalan	NA	vlees op het lichaam	flesh	daging	67	68	99	FALSE									FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615	NBL
the Sigule-Salang list	118	koenggå	NA	pees	tendon	urat	68	69	100	FALSE									TENDON	1137	https://concepticon.clld.org/parameters/1137	NBL
the Sigule-Salang list	121	bébé	NA	huid	skin	kulit	70	71	101	TRUE									SKIN	763	https://concepticon.clld.org/parameters/763	NBL
the Sigule-Salang list	122/123	boe	3	haar <unsp.>	body hair [ID_122]; body hair (animal) [ID_123]	bulu [ID_122]; bulu (binatang) [ID_123]	71	72	-	FALSE			boe, boeˈōˈ/ōˈ						HAIR	1040	https://concepticon.clld.org/parameters/1040	NBL
the Sigule-Salang list	122/123	boeˈōˈ	3	haar <unsp.>	body hair [ID_122]; body hair (animal) [ID_123]	bulu [ID_122]; bulu (binatang) [ID_123]	71	72	-	FALSE			boe, boeˈōˈ/ōˈ						HAIR	1040	https://concepticon.clld.org/parameters/1040	NBL
the Sigule-Salang list	122/123	ōˈ	3	haar <unsp.>	body hair [ID_122]; body hair (animal) [ID_123]	bulu [ID_122]; bulu (binatang) [ID_123]	71	72	-	FALSE			boe, boeˈōˈ/ōˈ						HAIR	1040	https://concepticon.clld.org/parameters/1040	NBL
the Sigule-Salang list	122/123	soelòˈ	3	haar <unsp.>	body hair [ID_122]; body hair (animal) [ID_123]	bulu [ID_122]; bulu (binatang) [ID_123]	71	72	-	FALSE			soelòˈ	hairpin					HAIR	1040	https://concepticon.clld.org/parameters/1040	NBL
the Sigule-Salang list	124	ating	NA	zweet	sweat	keringat	73	74	103	FALSE									SWEAT (SUBSTANCE)	125	https://concepticon.clld.org/parameters/125	NBL
the Sigule-Salang list	125	nilo	NA	speeksel	saliva	ludah	74	75	104	FALSE									SALIVA	1503	https://concepticon.clld.org/parameters/1503	NBL
the Sigule-Salang list	126	nifoefoei	NA	fluim	phlegm	dahak	-	76	105	FALSE									PHLEGM	3061	https://concepticon.clld.org/parameters/3061	NBL
the Sigule-Salang list	128	manga	NA	eten	to eat	makan	116	117	107	TRUE	eat								EAT	1336	https://concepticon.clld.org/parameters/1336	NBL
the Sigule-Salang list	129	olōfōˈ	NA	hongerig	hungry	lapar	734	752	108	FALSE									BE HUNGRY	1533	https://concepticon.clld.org/parameters/1533	NBL
the Sigule-Salang list	130	manginoe	NA	drinken	to drink	minum	117	118	109	TRUE	drink								DRINK	1401	https://concepticon.clld.org/parameters/1401	NBL
the Sigule-Salang list	130	anggouw gouw	NA	drinken	to drink	minum	117	118	109	TRUE	drink								DRINK	1401	https://concepticon.clld.org/parameters/1401	NBL
the Sigule-Salang list	131	anggalifō	NA	dronken	drunk	mabuk	-	474	367	FALSE									DRUNK	1463	https://concepticon.clld.org/parameters/1463	NBL
the Sigule-Salang list	132	angauwngouw	NA	dorstig	thirsty	haus	736	754	110	FALSE									THIRSTY	847	https://concepticon.clld.org/parameters/847	NBL
the Sigule-Salang list	133	motola aboewo	NA	verzadigd	satisfied	kenyang, puas	735	753	111	FALSE									FULL	1429	https://concepticon.clld.org/parameters/1429	NBL
the Sigule-Salang list	134	baōˈ²	NA	zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE									SATIATED	106	https://concepticon.clld.org/parameters/106	NBL
the Sigule-Salang list	135	oengå	NA	bijten	to bite	gigit	-	-	112	TRUE	bite								BITE	1403	https://concepticon.clld.org/parameters/1403	NBL
the Sigule-Salang list	137	adéeu	NA	slikken	to swallow	telan	118	120	-	FALSE									SWALLOW	897	https://concepticon.clld.org/parameters/897	NBL
the Sigule-Salang list	138	meulheu	NA	slapen	to sleep	tidur	119	121	114	TRUE	sleep								SLEEP	1585	https://concepticon.clld.org/parameters/1585	NBL
the Sigule-Salang list	140	beesipat	NA	droom	dream	impian	120	122	116	FALSE									DREAM	2374	https://concepticon.clld.org/parameters/2374	NBL
the Sigule-Salang list	143	oemoedōˈ	NA	opstaan	to get up	bangun dari duduk, tidur	-	-	119	FALSE									RISE (ONESELF)	1512	https://concepticon.clld.org/parameters/1512	NBL
the Sigule-Salang list	144	oeméndo	NA	staan	to stand	berdiri	121	123	120	TRUE	stand								STAND	1442	https://concepticon.clld.org/parameters/1442	NBL
the Sigule-Salang list	145	mofaneu laita	NA	lopen	to walk	berjalan	122	124	121	TRUE	walk								WALK	1443	https://concepticon.clld.org/parameters/1443	NBL
the Sigule-Salang list	148	meuleut²	NA	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie								LIE DOWN	215	https://concepticon.clld.org/parameters/215	NBL
the Sigule-Salang list	149	toemataōˈ	NA	zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit								SIT DOWN	1649	https://concepticon.clld.org/parameters/1649	NBL
the Sigule-Salang list	150	toemataōˈ	NA	zitten (met de benen kruiselings)	to sit (with the legs crossed)	bersila	127	129	126	TRUE	sit								NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	151	toemataōˈ	NA	zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit								NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	152	besélōˈ	NA	hurken	to squat	berjongkok	129	131	128	FALSE									SQUAT	3163	https://concepticon.clld.org/parameters/3163	NBL
the Sigule-Salang list	153	bernang	NA	zwemmen	to swim	berenang	131	133	129	TRUE	swim, to								SWIM	1439	https://concepticon.clld.org/parameters/1439	NBL
the Sigule-Salang list	154	mondi	NA	baden <intr.>	to take a bath	mandi	169	173	130	FALSE									WASH	1453	https://concepticon.clld.org/parameters/1453	NBL
the Sigule-Salang list	156	kelau	NA	stotteren	to stammer	gagap	133	135	132	FALSE									STUTTER	1866	https://concepticon.clld.org/parameters/1866	NBL
the Sigule-Salang list	156	kakap	NA	stotteren	to stammer	gagap	133	135	132	FALSE									STUTTER	1866	https://concepticon.clld.org/parameters/1866	NBL
the Sigule-Salang list	157	ni kajoen	NA	brouwen	to speak with a burr	berbicara dengan artikulasi uvular	134	136	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	158	soearaˈ	NA	stem	voice	suara	135	137	133	FALSE									VOICE	1363	https://concepticon.clld.org/parameters/1363	NBL
the Sigule-Salang list	159	dého	NA	schor(hees)	hoarse	parau	-	716	134	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	160	foeundoe	NA	schreeuwen	to shout	berteriak	136	138	-	FALSE									SHOUT	715	https://concepticon.clld.org/parameters/715	NBL
the Sigule-Salang list	161	toematawa	4	lachen	to laugh	tertawa	137	139	135	TRUE	laugh						infix form of “tatawa” (reduplication)		LAUGH	1355	https://concepticon.clld.org/parameters/1355	NBL
the Sigule-Salang list	163	mèèi	NA	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry								CRY	1839	https://concepticon.clld.org/parameters/1839	NBL
the Sigule-Salang list	165	toematawa	NA	glimlachen	to smile	tersenyum	139	141	139	FALSE									SMILE	1451	https://concepticon.clld.org/parameters/1451	NBL
the Sigule-Salang list	166	moeheung	NA	zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	168	oemoentah	NA	braken	to vomit	muntah	-	-	142	TRUE	vomit								VOMIT	1278	https://concepticon.clld.org/parameters/1278	NBL
the Sigule-Salang list	169	baeuna	NA	niezen	to sneeze	bersin	142	144	143	FALSE									SNEEZE	1621	https://concepticon.clld.org/parameters/1621	NBL
the Sigule-Salang list	170	dĕhòˈ	NA	hoesten	to cough	batuk	143	145	144	FALSE									COUGH	879	https://concepticon.clld.org/parameters/879	NBL
the Sigule-Salang list	172	adĕau	NA	hik	hiccups	tersedu	-	146	-	FALSE									HICCOUGH	162	https://concepticon.clld.org/parameters/162	NBL
the Sigule-Salang list	173	oe deuteu	NA	zich verslikken	to choke	tersedak	-	147	146	FALSE									CHOKE	129	https://concepticon.clld.org/parameters/129	NBL
the Sigule-Salang list	177	hanghō	NA	knikken	to nod	mengangguk	145	150	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	178	boenting	NA	zwanger	pregnant	hamil	-	-	150	FALSE									PREGNANT	1123	https://concepticon.clld.org/parameters/1123	NBL
the Sigule-Salang list	182	auli	NA	leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live								BE ALIVE	1422	https://concepticon.clld.org/parameters/1422	NBL
the Sigule-Salang list	183	maté	NA	sterven	to die	meninggal dunia	161	166	155	TRUE	die								DIE	1494	https://concepticon.clld.org/parameters/1494	NBL
the Sigule-Salang list	184	maté	NA	dood (zelfstnw.)	death	kematian	164	169	-	FALSE									DEATH	910	https://concepticon.clld.org/parameters/910	NBL
the Sigule-Salang list	185	maté	NA	dood (bijvn.)	dead	mati	165	-	155	FALSE									DEAD	1625	https://concepticon.clld.org/parameters/1625	NBL
the Sigule-Salang list	188	mait	NA	lijk	corpse	mayat	162	167	-	FALSE									CORPSE	767	https://concepticon.clld.org/parameters/767	NBL
the Sigule-Salang list	190	koeboer-djirat	NA	begraven	to bury	mengubur	-	-	159	FALSE									BURY	1719	https://concepticon.clld.org/parameters/1719	NBL
the Sigule-Salang list	191	djirat	NA	graf	grave	kuburan	244	242	160	FALSE									GRAVE	1773	https://concepticon.clld.org/parameters/1773	NBL
the Sigule-Salang list	192	ochiun boenoeh	NA	doden	to kill	membunuh	166	170	161	TRUE	kill								KILL	1417	https://concepticon.clld.org/parameters/1417	NBL
the Sigule-Salang list	193	paragian	NA	erven	to inherit	mewarisi	167	171	-	FALSE									INHERIT	3664	https://concepticon.clld.org/parameters/3664	NBL
the Sigule-Salang list	194	paninggalan	NA	erfenis	inheritance	warisan	168	172	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	196	dinding	NA	wond	wound	luka	177	181	163	FALSE									WOUND	1109	https://concepticon.clld.org/parameters/1109	NBL
the Sigule-Salang list	197	koemoe	NA	zweer	an infected wound	luka bernanah	178	182	-	FALSE									INFECTED	548	https://concepticon.clld.org/parameters/548	NBL
the Sigule-Salang list	198	bailun	NA	litteken	scar	bekas luka	179	183	164	FALSE									SCAR	497	https://concepticon.clld.org/parameters/497	NBL
the Sigule-Salang list	199	ofeungeu	NA	ziek	ill	sakit	730	748	165	FALSE									SICK	1847	https://concepticon.clld.org/parameters/1847	NBL
the Sigule-Salang list	202	adeu acho afeucheu	NA	gezond	healthy	sehat	731	749	167	FALSE									HEALTHY	1364	https://concepticon.clld.org/parameters/1364	NBL
the Sigule-Salang list	203	abahō	NA	steenpuist	boil	bisul	180	184	168	FALSE									BOIL (OF SKIN)	793	https://concepticon.clld.org/parameters/793	NBL
the Sigule-Salang list	205	òˈafoe	NA	koorts	fever	demam (k.b.)	181	185	-	FALSE							<s̀ˈafoe?>		FEVER	1534	https://concepticon.clld.org/parameters/1534	NBL
the Sigule-Salang list	209	afeucheu	NA	buikloop	diarrhoea	menceret (k.b.)	183	187	-	FALSE									DIARRHEA	1177	https://concepticon.clld.org/parameters/1177	NBL
the Sigule-Salang list	210	rohoemboean	NA	pokken	small pox	cacar	184	188	172	FALSE									SMALLPOX	1054	https://concepticon.clld.org/parameters/1054	NBL
the Sigule-Salang list	214	afegeu efeuma	NA	uitslag	eruption (of rash)	ruam	186	190	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	217	afeucheu	NA	schurft	scabies	kudis	-	-	177	FALSE									SCABIES	3172	https://concepticon.clld.org/parameters/3172	NBL
the Sigule-Salang list	219	afecheu dehoe	NA	hoofdpijn	headache	sakit kepala, pusing	187	191	-	FALSE									HEADACHE	3625	https://concepticon.clld.org/parameters/3625	NBL
the Sigule-Salang list	220	afecheu chadeula	5	rheumatiek	rheumatism	sengal, encok	188	192	179	FALSE			datan toeling	ill			<ill: dalam toelang?>		NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	222	tòhòˈ	NA	verkoudheid	a cold	selesma	189	193	-	FALSE									COMMON COLD (DISEASE)	102	https://concepticon.clld.org/parameters/102	NBL
the Sigule-Salang list	224	afatang	NA	kramp	cramp	kejang	190	194	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	227	afioe	NA	stom	mute	bisu	193	197	184	FALSE									MUTE PERSON	2320	https://concepticon.clld.org/parameters/2320	NBL
the Sigule-Salang list	228	aféo	NA	doof	deaf	tuli	194	198	185	FALSE									DEAF PERSON	458	https://concepticon.clld.org/parameters/458	NBL
the Sigule-Salang list	229	aboeta	NA	blind	blind	buta	195	199	186	FALSE									BLIND	1653	https://concepticon.clld.org/parameters/1653	NBL
the Sigule-Salang list	231	djoeling	NA	scheel	squinting	juling	196	200	188	FALSE									SQUINT-EYED	87	https://concepticon.clld.org/parameters/87	NBL
the Sigule-Salang list	232	poeléh	NA	genezen	cured	sembuh	197	201	189	FALSE									CURE	499	https://concepticon.clld.org/parameters/499	NBL
the Sigule-Salang list	233/234	deuwoe	NA	geneesmiddel < unsp.>	medicine [ID_233]; medicine (with magic power) [ID_234]	obat [ID_233]; obat (dari dukun) [ID_234]	-	-	190	FALSE									NA	NA	NA	NBL
the Sigule-Salang list	235	bidan	NA	dokter (dukun)	doctor (medicine man)	dokter (dukun)	200	203	-	FALSE									SHAMAN (FOLK HEALER)	394	https://concepticon.clld.org/parameters/394	NBL
the Sigule-Salang list	236-238	manoesia	NA	mens <unsp.>	man, mankind [ID_236]; people [ID_237]; people [ID_238]	manusia [ID_236]; orang [ID_237]; orang [ID_238]	-	-	191	FALSE									NA	NA	NA	NBL
the Sigule-Salang list	239	deuini	NA	naam	name	nama	113	114	192	TRUE							<?>		NAME	1405	https://concepticon.clld.org/parameters/1405	NBL
